Entity,Code,Year,Other renewables (including geothermal and biomass) - TWh,Biofuels consumption - TWh,Solar consumption - TWh,Wind consumption - TWh,Hydro consumption - TWh,Nuclear consumption - TWh,Gas consumption - TWh,Coal consumption - TWh,Oil consumption - TWh
Africa,,1971,0.52352136,,0,0,76.92131,0,18.405262,383.0123,474.3054
Africa,,1972,0.5267136,,0,0,87.62504,0,24.670656,384.21082,510.7296
Africa,,1973,0.5426747,,0,0,92.68892,0,39.551792,408.9103,549.80396
Africa,,1974,0.5586358,,0,0,105.46715,0,44.518486,425.64618,569.7385
Africa,,1975,0.54905915,,0,0,111.53163,0,53.63838,451.08047,597.671
Africa,,1976,0.59055775,,0,0,123.59514,0,60.98139,481.07413,652.5852
Africa,,1977,0.6033267,,0,0,135.81085,0,68.23419,491.69846,695.1952
Africa,,1978,0.6224797,,0,0,136.92912,0,97.369896,477.81558,732.366
Africa,,1979,0.64163303,,0,0,146.56386,0,148.8428,507.24698,771.1747
Africa,,1980,0.66078633,,0,0,142.85742,0,186.91397,543.55707,818.15454
Africa,,1981,0.6959005,,0,0,148.41988,0,228.49115,635.79877,885.4927
Africa,,1982,0.7533603,,0,0,148.4593,0,246.73354,701.17584,926.532
Africa,,1983,0.7342069,,0,0,133.79536,0,271.27533,713.24603,964.7042
Africa,,1984,0.7469758,,0,0,131.55637,11.137245,259.90277,762.8979,982.0362
Africa,,1985,0.8587031,,0,0,146.22218,15.081391,278.84274,787.16583,1007.3241
Africa,,1986,1.9731369,,0,0,151.23631,24.978643,313.27118,805.356,984.45636
Africa,,1987,1.9731369,,0,0,145.05942,17.498955,323.38437,828.3197,1038.56
Africa,,1988,1.8837552,,0,0,158.47527,29.774042,358.44452,890.16077,1081.7913
Africa,,1989,1.8550252,,0,0,166.40814,31.493576,371.47104,835.62085,1117.5557
Africa,,1990,2.4564898,0,0,0,169.30139,23.974163,398.64536,877.6782,1135.7396
Africa,,1991,2.5178437,0,0,0,179.3458,25.946236,401.6356,853.76215,1141.6711
Africa,,1992,2.6294963,0,0,0,171.09227,26.35484,421.27026,858.8312,1163.9397
Africa,,1993,2.9341135,0,0,0.005913972,167.60956,20.58617,412.64395,871.7139,1175.8846
Africa,,1994,2.6102505,0,0,0.015967749,170.3109,27.51538,431.82794,894.4478,1213.9683
Africa,,1995,3.1447382,0,0,0.018629028,176.73593,32.066753,461.2435,922.47125,1255.8745
Africa,,1996,3.9078012,0,0,0.020994611,184.26909,33.41174,484.19174,935.2283,1283.199
Africa,,1997,4.327747,0,0,0.021290332,188.81113,35.88605,474.47552,959.01904,1323.6312
Africa,,1998,5.3564506,0,0,0.02247311,197.09778,38.593037,499.33698,937.03894,1354.9565
Africa,,1999,5.315038,0,0,0.058548413,209.0126,36.42518,504.01962,966.0107,1404.4688
Africa,,2000,7.232071,0,0.035309397,0.51895165,222.53064,36.91607,556.8223,963.73047,1407.994
Africa,,2001,7.436979,0,0.043949258,1.2208858,237.57632,30.217817,634.6361,975.9262,1422.8947
