Entity,Code,Year,Primary energy consumption (TWh)
Afghanistan,AFG,1980,7.7907724
Afghanistan,AFG,1981,8.77732
Afghanistan,AFG,1982,9.348327
Afghanistan,AFG,1983,11.436162
Afghanistan,AFG,1984,11.489043
Afghanistan,AFG,1985,11.217284
Afghanistan,AFG,1986,11.462361
Afghanistan,AFG,1987,18.482574
Afghanistan,AFG,1988,32.595596
Afghanistan,AFG,1989,32.051582
Afghanistan,AFG,1990,31.745558
Afghanistan,AFG,1991,13.902764
Afghanistan,AFG,1992,9.167781
Afghanistan,AFG,1993,9.105348
Afghanistan,AFG,1994,8.815903
Afghanistan,AFG,1995,7.428904
Afghanistan,AFG,1996,7.2858114
Afghanistan,AFG,1997,6.9379854
Afghanistan,AFG,1998,6.7522273
Afghanistan,AFG,1999,6.748676
Afghanistan,AFG,2000,5.913606
Afghanistan,AFG,2001,4.664077
Afghanistan,AFG,2002,4.4281597
Afghanistan,AFG,2003,5.2076616
Afghanistan,AFG,2004,4.810372
Afghanistan,AFG,2005,6.153309
Afghanistan,AFG,2006,7.745364
Afghanistan,AFG,2007,9.177021
Afghanistan,AFG,2008,16.06334
Afghanistan,AFG,2009,26.701996
Afghanistan,AFG,2010,33.345337
Afghanistan,AFG,2011,42.00513
Afghanistan,AFG,2012,40.341312
Afghanistan,AFG,2013,33.458687
Afghanistan,AFG,2014,28.416525
Afghanistan,AFG,2015,32.743607
Afghanistan,AFG,2016,29.883818
Afghanistan,AFG,2017,29.559513
Afghanistan,AFG,2018,33.907795
Afghanistan,AFG,2019,30.314272
Afghanistan,AFG,2020,27.393118
Afghanistan,AFG,2021,27.13513
Africa,,1965,716.3206
Africa,,1966,750.13324
Africa,,1967,757.93445
Africa,,1968,800.5962
Africa,,1969,822.66846
Africa,,1970,893.0353
Africa,,1971,953.16785
Africa,,1972,1007.7628
Africa,,1973,1091.4977
Africa,,1974,1145.929
Africa,,1975,1214.4705
Africa,,1976,1318.8265
Africa,,1977,1391.542
Africa,,1978,1445.103
Africa,,1979,1574.47
Africa,,1980,1692.1438
Africa,,1981,1898.8983
Africa,,1982,2023.6539
Africa,,1983,2083.7551
Africa,,1984,2148.2773
Africa,,1985,2235.495
Africa,,1986,2281.2717
Africa,,1987,2354.7957
Africa,,1988,2520.5295
Africa,,1989,2524.4043
Africa,,1990,2607.7954
Africa,,1991,2604.8787
Africa,,1992,2644.1177
Africa,,1993,2651.3784
Africa,,1994,2740.6965
Africa,,1995,2851.5552
Africa,,1996,2924.2285
Africa,,1997,2986.172
Africa,,1998,3032.4023
Africa,,1999,3125.3103
Africa,,2000,3195.7798
Africa,,2001,3309.953
Africa,,2002,3352.7703
Africa,,2003,3514.8135
Africa,,2004,3774.125
Africa,,2005,3785.3667
Africa,,2006,3858.6658
Africa,,2007,4005.5083
