Entity,Code,Year,Renewables (% equivalent primary energy)
Africa,,1965,5.7402806
Africa,,1966,6.1139693
Africa,,1967,6.31658
Africa,,1968,6.994845
Africa,,1969,7.9439163
Africa,,1970,9.148895
Africa,,1971,8.124994
Africa,,1972,8.747272
Africa,,1973,8.54162
Africa,,1974,9.252387
Africa,,1975,9.228769
Africa,,1976,9.41638
Africa,,1977,9.803094
Africa,,1978,9.518462
Africa,,1979,9.349527
Africa,,1980,8.481442
Africa,,1981,7.8527517
Africa,,1982,7.3734274
Africa,,1983,6.456112
Africa,,1984,6.1585774
Africa,,1985,6.5793424
Africa,,1986,6.7159667
Africa,,1987,6.243963
Africa,,1988,6.3621163
Africa,,1989,6.66546
Africa,,1990,6.586325
Africa,,1991,6.9816546
Africa,,1992,6.5701222
Africa,,1993,6.432488
Africa,,1994,6.30997
Africa,,1995,6.308814
Africa,,1996,6.435814
Africa,,1997,6.468487
Africa,,1998,6.6771054
Africa,,1999,6.8596764
Africa,,2000,7.20691
Africa,,2001,7.4405327
Africa,,2002,7.675384
Africa,,2003,7.109379
Africa,,2004,6.983353
Africa,,2005,7.0310397
Africa,,2006,7.16137
Africa,,2007,7.060168
Africa,,2008,6.7642
Africa,,2009,6.812359
Africa,,2010,7.134043
Africa,,2011,7.273434
Africa,,2012,7.023342
Africa,,2013,7.2216034
Africa,,2014,7.5466075
Africa,,2015,7.49733
Africa,,2016,7.293605
Africa,,2017,7.722913
Africa,,2018,8.085691
Africa,,2019,8.440789
Africa,,2020,9.53104
Africa,,2021,9.419954
Africa,,2022,9.656152
Africa (EI),,1965,5.7402806
Africa (EI),,1966,6.113969
Africa (EI),,1967,6.31658
Africa (EI),,1968,6.994845
Africa (EI),,1969,7.9439154
Africa (EI),,1970,9.148896
Africa (EI),,1971,8.124996
Africa (EI),,1972,8.7472725
Africa (EI),,1973,8.54162
Africa (EI),,1974,9.252388
Africa (EI),,1975,9.228768
Africa (EI),,1976,9.416379
Africa (EI),,1977,9.803097
Africa (EI),,1978,9.518462
Africa (EI),,1979,9.349527
Africa (EI),,1980,8.481442
Africa (EI),,1981,7.8527517
Africa (EI),,1982,7.3734274
Africa (EI),,1983,6.456112
Africa (EI),,1984,6.1585774
Africa (EI),,1985,6.5793424
Africa (EI),,1986,6.7159667
Africa (EI),,1987,6.243963
Africa (EI),,1988,6.3621163
Africa (EI),,1989,6.6654606
Africa (EI),,1990,6.586325
Africa (EI),,1991,6.9816546
Africa (EI),,1992,6.5701222
Africa (EI),,1993,6.432488
Africa (EI),,1994,6.30997
Africa (EI),,1995,6.3088136
Africa (EI),,1996,6.435814
Africa (EI),,1997,6.468488
Africa (EI),,1998,6.677107
Africa (EI),,1999,6.8596764
Africa (EI),,2000,7.20691
Africa (EI),,2001,7.4405327
Africa (EI),,2002,7.6753845
Africa (EI),,2003,7.10938
Africa (EI),,2004,6.983353
Africa (EI),,2005,7.0310397
Africa (EI),,2006,7.16137
Africa (EI),,2007,7.060168
Africa (EI),,2008,6.764201
Africa (EI),,2009,6.812359
Africa (EI),,2010,7.134043
Africa (EI),,2011,7.273434
Africa (EI),,2012,7.023342
Africa (EI),,2013,7.2216034
Africa (EI),,2014,7.5466075
Africa (EI),,2015,7.49733
Africa (EI),,2016,7.293605
Africa (EI),,2017,7.7229133
Africa (EI),,2018,8.085691
Africa (EI),,2019,8.440789
Africa (EI),,2020,9.53104
Africa (EI),,2021,9.419953
Africa (EI),,2022,9.656152
Algeria,DZA,1965,4.7630677
Algeria,DZA,1966,3.518747
Algeria,DZA,1967,4.291954
Algeria,DZA,1968,5.4861946
Algeria,DZA,1969,3.1827633
Algeria,DZA,1970,4.6656837
Algeria,DZA,1971,2.4559188
Algeria,DZA,1972,3.278343
Algeria,DZA,1973,4.175826
Algeria,DZA,1974,2.494738
Algeria,DZA,1975,1.3782818
Algeria,DZA,1976,1.4010222
Algeria,DZA,1977,0.8817282
Algeria,DZA,1978,0.6521151
Algeria,DZA,1979,0.5792936
Algeria,DZA,1980,0.4290016
Algeria,DZA,1981,0.50294036
Algeria,DZA,1982,0.5708701
Algeria,DZA,1983,0.25644946
Algeria,DZA,1984,0.5136736
Algeria,DZA,1985,0.72826535
Algeria,DZA,1986,0.2664045
Algeria,DZA,1987,0.5174274
Algeria,DZA,1988,0.17717436
Algeria,DZA,1989,0.2249582
Algeria,DZA,1990,0.1267387
Algeria,DZA,1991,0.277607
