Entity,Code,Year,Oil (% equivalent primary energy),Coal (% equivalent primary energy),Solar (% equivalent primary energy),Nuclear (% equivalent primary energy),Hydro (% equivalent primary energy),Wind (% equivalent primary energy),Gas (% equivalent primary energy),Other renewables (% equivalent primary energy)
Africa,,1965,47.762646,45.160805,,0,5.7402806,0,1.3362632,
Africa,,1966,49.38456,43.075306,,0,6.1139693,0,1.4261588,
Africa,,1967,48.71048,43.57785,,0,6.31658,0,1.3950869,
Africa,,1968,48.759373,42.907135,,0,6.994845,0,1.3386455,
Africa,,1969,48.39778,42.136402,,0,7.9439163,0,1.521898,
Africa,,1970,48.713306,40.39671,,0,9.148895,0,1.7410845,
Africa,,1971,49.760956,40.183094,0,0,8.07007,0,1.9309573,0.054924365
Africa,,1972,50.679546,38.125126,0,0,8.695006,0,2.448062,0.05226563
Africa,,1973,50.371517,37.463234,0,0,8.491902,0,3.623626,0.049718358
Africa,,1974,49.718487,37.144203,0,0,9.203637,0,3.8849254,0.0487496
Africa,,1975,49.212475,37.142147,0,0,9.183559,0,4.416606,0.045209754
Africa,,1976,49.48227,36.47744,0,0,9.3716,0,4.6239133,0.044779036
Africa,,1977,49.95862,35.334785,0,0,9.759737,0,4.9034944,0.043356694
Africa,,1978,50.679153,33.06446,0,0,9.475388,0,6.73792,0.043075103
Africa,,1979,48.979958,32.217003,0,0,9.308776,0,9.453519,0.04075232
Africa,,1980,48.350178,32.12239,0,0,8.442392,0,11.045986,0.039050248
Africa,,1981,46.631916,33.482506,0,0,7.816104,0,12.032826,0.036647588
Africa,,1982,45.7851,34.649,0,0,7.3362,0,12.192476,0.037227724
Africa,,1983,46.29643,34.228878,0,0,6.4208775,0,13.0185795,0.035234798
Africa,,1984,45.712723,35.512074,0,0.5184267,6.1238065,0,12.098193,0.034770917
Africa,,1985,45.060448,35.212147,0,0.67463315,6.5409303,0,12.473422,0.03841221
Africa,,1986,43.153847,35.302944,0,1.0949439,6.6294746,0,13.7323065,0.08649286
Africa,,1987,44.104042,35.17586,0,0.7431199,6.16017,0,13.733011,0.08379228
Africa,,1988,42.919205,35.31642,0,1.1812614,6.2873797,0,14.221001,0.07473649
Africa,,1989,44.270073,33.101704,0,1.2475647,6.5919766,0,14.715197,0.073483676
Africa,,1990,43.551716,33.65595,0,0.91932684,6.492127,0,15.286681,0.094197944
Africa,,1991,43.82819,32.775505,0,0.9960631,6.884996,0,15.418591,0.09665877
Africa,,1992,44.019966,32.480824,0,0.99673474,6.470675,0,15.932358,0.09944702
Africa,,1993,44.349937,32.877766,0,0.77643275,6.321601,0.00022305273,15.5633745,0.110663705
Africa,,1994,44.294155,32.635788,0,1.0039558,6.214147,0.00058261654,15.756141,0.095240414
